what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.7",1393217841552
java.vm.vendor,sysinfo,,,"Oracle Corporation",1393217841552
java.vm.version,sysinfo,,,"23.1-b03",1393217841552
started,bundle,com.android.ide.eclipse.base,22.0.5.v201307292155--757759,"com.android.ide.eclipse.base",1393217841653
started,bundle,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.adt",1393217841731
started,bundle,org.python.pydev.core,2.5.0.2012040618,"org.python.pydev.core",1393217841755
started,bundle,org.python.pydev.debug,2.5.0.2012040618,"org.python.pydev.debug",1393217841757
started,bundle,com.python.pydev.analysis,2.5.0.2012040618,"com.python.pydev.analysis",1393217841797
started,bundle,org.python.pydev,2.5.0.2012040618,"org.python.pydev",1393217841832
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.0.201106081058,"org.eclipse.cdt.dsf.gdb.ui",1393217841839
started,bundle,org.eclipse.wb.discovery.ui,1.5.0.r37x201206111213,"org.eclipse.wb.discovery.ui",1393217842246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393217842366
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1393217842639
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1393217844586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393217845472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393217850783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393217865258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393217870849
started,bundle,org.eclipse.php.core,3.0.1.v201201110400,"org.eclipse.php.core",1393217872194
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393217872383
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1393217873797
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1393217873798
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1393217873799
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1393217873800
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1393217873801
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1393217873802
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1393217873803
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1393217873805
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1393217873807
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1393217873808
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1393217873811
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1393217873812
