what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396040991934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396040992641
error,log,,,"Referenced part does not exist yet: org.eclipse.ui.views.ProblemView.",1396040993941
error,log,,,"Part already exists in page layout: org.eclipse.debug.ui.ExpressionView.",1396040993946
started,bundle,org.eclipse.cdt.dsf.ui,2.2.0.201106081058,"org.eclipse.cdt.dsf.ui",1396040994501
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1396040994790
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1396040995154
started,bundle,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms",1396040995417
error,log,,,"DDMS files not found: /nfs/unixspace/linux/accounts/student/y/ygg001/platform-tools/adb /nfs/unixspace/linux/accounts/student/y/ygg001/tools/hprof-conv /nfs/unixspace/linux/accounts/student/y/ygg001/tools/traceview ",1396040995480
opened,view,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms.views.LogCatView",1396040995517
started,bundle,com.android.ide.eclipse.traceview,22.0.5.v201307292155--757759,"com.android.ide.eclipse.traceview",1396040995544
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1396040995685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396040995829
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.ExpressionView",1396040996672
started,bundle,org.eclipse.mylyn.ide.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.ide.ui",1396040996770
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.BreakpointView",1396040996865
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1396041017523
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepInto",1396041017597
